,participantId,grupo
0,1,0
1,372,0
2,555,0
3,675,0
4,731,1
5,888,2
6,1007,2
7,2,0
8,69,3
9,126,5
10,136,0
11,149,0
12,176,1
13,196,1
14,202,1
15,218,3
16,412,0
17,660,0
18,3,2
19,499,2
20,646,2
21,908,2
22,4,1
23,14,1
24,19,1
25,24,1
26,29,1
27,36,1
28,39,1
29,50,1
30,56,1
31,63,5
32,68,5
33,70,1
34,74,1
35,81,1
36,92,1
37,95,5
38,113,1
39,128,1
40,131,1
41,164,1
42,165,1
43,168,1
44,190,5
45,208,1
46,210,5
47,221,1
48,227,1
49,243,1
50,246,1
51,247,1
52,250,1
53,626,1
54,769,1
55,882,1
56,953,1
57,5,5
58,7,5
59,10,5
60,25,5
61,82,5
62,94,1
63,96,5
64,98,5
65,130,1
66,153,5
67,203,5
68,220,1
69,231,5
70,234,5
71,244,1
72,993,1
73,1000,5
74,6,1
75,30,1
76,54,1
77,65,5
78,66,5
79,75,1
80,77,1
81,120,1
82,133,5
83,137,1
84,139,1
85,145,3
86,147,5
87,173,1
88,182,1
89,554,1
90,654,1
91,684,1
92,782,1
93,798,1
94,810,0
95,46,0
96,85,1
97,87,5
98,88,0
99,121,5
100,152,1
101,166,5
102,530,0
103,620,6
104,678,2
105,697,0
106,967,2
107,8,1
108,9,1
109,51,1
110,52,5
111,93,1
112,184,1
113,191,5
114,222,1
115,971,1
116,35,1
117,80,5
118,86,5
119,114,5
120,138,1
121,199,5
122,11,2
123,506,2
124,527,2
125,601,2
126,679,2
127,719,2
128,938,2
129,989,2
130,990,2
131,12,2
132,531,2
133,677,2
134,685,0
135,890,2
136,13,1
137,403,1
138,436,3
139,545,1
140,582,1
141,622,1
142,735,1
143,797,3
144,22,1
145,62,1
146,71,1
147,91,1
148,99,1
149,105,1
150,141,3
151,167,1
152,181,1
153,217,1
154,249,1
155,433,1
156,610,1
157,845,1
158,948,1
159,15,2
160,600,2
161,607,2
162,700,2
163,942,2
164,964,2
165,16,1
166,240,1
167,370,1
168,389,3
169,402,1
170,452,0
171,696,0
172,17,3
173,441,3
174,481,3
175,916,3
176,18,8
177,348,3
178,453,3
179,786,8
180,34,1
181,156,5
182,232,1
183,20,5
184,97,5
185,129,5
186,132,5
187,172,5
188,239,5
189,251,1
190,315,1
191,703,1
192,767,5
193,934,5
194,947,5
195,21,1
196,60,1
197,162,1
198,197,1
199,576,1
200,692,1
201,40,1
202,64,5
203,112,5
204,177,1
205,41,1
206,84,5
207,104,1
208,715,1
209,973,1
210,144,5
211,158,5
212,169,5
213,226,5
214,712,5
215,26,1
216,61,5
217,119,5
218,961,5
219,27,0
220,458,0
221,28,9
222,500,9
223,515,9
224,673,2
225,67,1
226,115,5
227,175,1
228,613,1
229,31,3
230,266,3
231,326,3
232,358,3
233,400,3
234,408,3
235,484,3
236,508,3
237,815,3
238,32,6
239,157,6
240,277,6
241,278,6
242,292,3
243,543,6
244,551,3
245,573,3
246,625,6
247,33,2
248,308,2
249,557,0
250,738,2
251,630,3
252,48,5
253,830,1
254,38,0
255,49,2
256,163,0
257,135,5
258,944,1
259,411,3
260,443,3
261,174,1
262,223,1
263,355,3
264,635,1
265,666,2
266,42,3
267,369,3
268,401,3
269,45,2
270,485,2
271,522,2
272,596,2
273,106,1
274,47,5
275,55,5
276,955,5
277,1001,5
278,146,5
279,212,1
280,265,2
281,282,2
282,552,2
283,765,2
284,877,2
285,206,1
286,838,5
287,868,5
288,53,2
289,520,2
290,584,2
291,899,2
292,683,5
293,800,5
294,829,5
295,950,5
296,958,5
297,983,5
298,821,1
299,914,1
300,985,1
301,57,1
302,102,0
303,179,1
304,593,2
305,58,3
306,269,3
307,317,3
308,445,3
309,477,3
310,59,2
311,205,2
312,745,2
313,644,1
314,820,5
315,889,5
316,76,1
317,207,6
318,781,5
319,822,5
320,880,5
321,107,1
322,117,1
323,280,1
324,444,1
325,258,3
326,432,3
327,564,3
328,693,3
329,708,2
330,746,3
331,686,1
332,72,3
333,257,3
334,682,3
335,73,1
336,956,1
337,969,1
338,274,3
339,320,3
340,336,3
341,363,3
342,437,3
343,466,0
344,588,0
345,725,10
346,999,1
347,388,0
348,419,0
349,590,0
350,732,5
351,740,0
352,180,1
353,78,3
354,323,3
355,430,3
356,438,3
357,79,3
358,321,3
359,331,3
360,349,3
361,705,3
362,833,1
363,83,2
364,290,2
365,339,2
366,483,2
367,562,2
368,687,2
369,710,2
370,748,2
371,750,2
372,979,2
373,1008,5
374,819,0
375,987,0
376,988,0
377,89,0
378,108,0
379,90,3
380,255,3
381,286,3
382,289,3
383,463,3
384,472,3
385,488,3
386,501,3
387,659,3
388,751,3
389,1009,3
390,571,1
391,982,5
392,100,3
393,281,3
394,498,3
395,101,3
396,134,3
397,328,3
398,364,3
399,503,3
400,691,6
401,772,2
402,103,2
403,642,2
404,459,1
405,726,0
406,795,2
407,254,0
408,109,2
409,848,2
410,870,2
411,981,2
412,110,3
413,252,3
414,311,3
415,357,3
416,365,3
417,394,3
418,409,3
419,442,3
420,609,3
421,984,3
422,111,3
423,253,3
424,273,3
425,284,3
426,294,3
427,330,3
428,373,3
429,378,3
430,387,3
431,393,3
432,395,3
433,416,3
434,417,3
435,434,3
436,447,3
437,473,3
438,493,3
439,540,6
440,563,6
441,624,6
442,669,3
443,681,3
444,704,3
445,720,3
446,730,3
447,903,3
448,779,5
449,116,3
450,296,3
451,338,3
452,342,0
453,418,3
454,448,3
455,497,3
456,122,3
457,421,3
458,425,3
459,449,3
460,123,2
461,124,2
462,672,2
463,866,2
464,125,3
465,287,3
466,312,6
467,721,1
468,263,0
469,823,1
470,895,2
471,945,10
472,140,2
473,482,2
474,674,2
475,727,2
476,729,2
477,893,2
478,426,3
479,435,3
480,849,0
481,303,3
482,307,3
483,374,3
484,427,3
485,502,3
486,637,3
487,652,3
488,667,3
489,813,3
490,1010,3
491,148,2
492,843,2
493,874,2
494,972,2
495,706,0
496,753,0
497,150,3
498,151,3
499,155,0
500,529,6
501,648,6
502,159,0
503,456,0
504,556,0
505,695,0
506,160,2
507,391,10
508,935,2
509,632,0
510,305,3
511,390,3
512,464,3
513,170,10
514,517,10
515,694,10
516,940,10
517,941,10
518,951,10
519,171,2
520,178,11
521,183,11
522,185,11
523,396,3
524,186,12
525,187,12
526,201,12
527,204,12
528,495,3
529,805,3
530,188,13
531,189,13
532,192,13
533,194,13
534,193,10
535,195,10
536,198,10
537,200,10
538,304,10
539,327,10
540,457,10
541,519,2
542,544,10
543,623,10
544,649,10
545,784,10
546,869,10
547,739,2
548,759,10
549,931,2
550,209,6
551,211,6
552,216,6
553,213,14
554,214,14
555,215,14
556,354,6
557,219,9
558,224,9
559,225,9
560,228,1
561,230,5
562,446,1
563,229,15
564,233,15
565,238,15
566,241,15
567,235,16
568,236,16
569,237,16
570,528,15
571,242,3
572,260,3
573,245,10
574,248,10
575,423,10
576,428,10
577,420,1
578,261,3
579,283,3
580,299,3
581,362,3
582,371,3
583,398,3
584,405,3
585,424,3
586,439,3
587,537,3
588,559,3
589,345,3
590,350,3
591,272,3
592,314,3
593,359,3
594,381,3
595,431,3
596,460,3
597,462,3
598,469,3
599,478,3
600,479,3
601,976,3
602,777,3
603,450,3
604,1002,3
605,259,2
606,332,2
607,347,2
608,591,2
609,627,2
610,954,2
611,968,2
612,996,2
613,998,2
614,1003,2
615,325,3
616,491,3
617,871,3
618,264,2
619,535,2
620,857,2
621,293,3
622,295,3
623,318,3
624,385,3
625,570,2
626,579,3
627,640,3
628,737,3
629,873,3
630,991,3
631,268,0
632,270,2
633,486,2
634,271,3
635,918,3
636,468,3
637,633,3
638,275,2
639,906,2
640,1006,2
641,276,10
642,645,2
643,915,10
644,994,10
645,291,3
646,386,3
647,467,3
648,322,3
649,487,3
650,963,5
651,986,3
652,960,3
653,397,3
654,422,3
655,661,3
656,997,3
657,353,3
658,598,3
659,360,3
660,297,10
661,404,10
662,492,3
663,776,3
664,300,2
665,319,10
666,662,2
667,302,10
668,344,10
669,597,10
670,844,2
671,917,10
672,932,10
673,803,3
674,415,10
675,583,10
676,306,2
677,536,2
678,796,2
679,801,2
680,505,2
681,578,2
682,310,2
683,324,2
684,313,10
685,329,10
686,878,10
687,922,3
688,912,2
689,962,2
690,1005,2
691,316,2
692,333,10
693,699,10
694,701,10
695,929,10
696,978,10
697,836,3
698,594,2
699,783,10
700,894,10
701,587,3
702,631,2
703,863,2
704,995,2
705,561,10
706,804,10
707,809,10
708,928,10
709,334,2
710,616,2
711,335,2
712,734,2
713,881,2
714,957,10
715,980,2
716,714,1
717,337,2
718,366,2
719,340,2
720,939,2
721,341,2
722,560,2
723,770,2
724,343,2
725,379,2
726,592,2
727,851,2
728,351,2
729,480,2
730,840,2
731,1004,0
732,361,2
733,533,2
734,549,2
735,766,2
736,812,2
737,664,2
738,367,10
739,414,10
740,755,10
741,368,2
742,841,2
743,581,3
744,650,2
745,879,0
746,375,1
747,376,2
748,722,2
749,377,10
750,518,10
751,585,10
752,688,10
753,698,10
754,788,10
755,861,10
756,905,2
757,550,3
758,689,3
759,410,2
760,743,2
761,807,3
762,835,2
763,413,2
764,606,2
765,977,10
766,429,0
767,612,0
768,440,1
769,546,1
770,566,1
771,736,2
772,451,3
773,454,2
774,724,2
775,943,2
776,455,2
777,921,2
778,461,3
779,465,3
780,470,17
781,471,17
782,474,17
783,475,2
784,521,2
785,476,2
786,565,2
787,525,2
788,744,2
789,489,10
790,490,3
791,494,3
792,496,3
793,852,2
794,504,0
795,516,0
796,524,0
797,569,2
798,763,2
799,538,2
800,959,2
801,507,18
802,728,18
803,511,2
804,775,2
805,513,2
806,608,2
807,778,10
808,676,10
809,814,2
810,936,2
811,548,2
812,690,2
813,534,2
814,547,2
815,532,2
816,974,2
817,709,2
818,542,2
819,891,2
820,665,2
821,910,10
822,850,2
823,656,10
824,826,10
825,898,10
826,586,2
827,618,2
828,619,10
829,913,0
830,638,5
831,764,5
832,733,2
833,742,2
834,671,2
835,904,2
836,937,0
837,702,10
838,707,10
839,711,5
840,713,5
841,717,5
842,716,1
843,718,1
844,723,1
845,741,3
846,749,2
847,754,2
848,752,4
849,926,4
850,927,4
851,930,4
852,758,2
853,837,7
854,992,7
855,949,2
856,865,3
857,975,0
858,946,10
859,965,5
860,966,5
