,participantId,grupo
0,0,3
1,37,3
2,316,3
3,367,3
4,404,3
5,410,3
6,608,3
7,801,3
8,933,3
9,955,1
10,1,3
11,11,3
12,16,1
13,19,1
14,28,3
15,31,2
16,45,3
17,57,1
18,60,1
19,73,1
20,85,1
21,87,1
22,105,1
23,119,1
24,146,1
25,163,3
26,166,1
27,171,3
28,202,1
29,212,1
30,217,1
31,218,2
32,231,1
33,264,3
34,278,2
35,282,3
36,335,3
37,366,3
38,370,2
39,372,1
40,412,1
41,419,1
42,430,2
43,466,3
44,475,3
45,476,3
46,480,3
47,515,3
48,527,3
49,529,3
50,533,3
51,535,3
52,538,3
53,545,2
54,550,2
55,555,1
56,557,3
57,560,3
58,565,3
59,566,3
60,600,3
61,601,3
62,606,3
63,648,3
64,650,3
65,660,1
66,662,3
67,671,3
68,675,1
69,677,3
70,678,3
71,684,1
72,685,1
73,690,3
74,695,3
75,697,1
76,726,1
77,731,3
78,734,3
79,738,3
80,744,3
81,746,2
82,747,1
83,755,3
84,772,3
85,775,3
86,782,1
87,795,3
88,814,3
89,826,3
90,835,3
91,843,3
92,844,3
93,848,3
94,849,2
95,850,3
96,857,3
97,879,3
98,881,3
99,888,3
100,890,3
101,891,3
102,893,3
103,895,3
104,899,3
105,906,3
106,912,3
107,914,1
108,921,3
109,935,3
110,937,3
111,943,3
112,945,3
113,959,3
114,962,3
115,968,3
116,972,3
117,974,3
118,980,3
119,995,3
120,998,3
121,1006,3
122,1007,3
123,2,1
124,4,1
125,5,1
126,7,1
127,9,1
128,20,1
129,21,1
130,27,1
131,46,1
132,50,1
133,52,1
134,54,1
135,62,1
136,69,1
137,70,1
138,71,1
139,75,1
140,81,1
141,88,1
142,97,1
143,106,1
144,113,1
145,121,1
146,126,1
147,128,1
148,129,1
149,136,1
150,138,1
151,139,1
152,141,1
153,147,1
154,149,1
155,153,1
156,162,1
157,165,1
158,172,1
159,173,1
160,176,1
161,196,1
162,206,1
163,210,1
164,220,1
165,244,1
166,246,1
167,263,1
168,302,3
169,388,1
170,458,1
171,530,1
172,554,1
173,571,1
174,576,1
175,582,2
176,585,3
177,590,1
178,622,1
179,626,1
180,672,3
181,682,2
182,691,3
183,704,2
184,706,3
185,725,3
186,740,1
187,764,1
188,767,1
