,participantId,grupo
0,372,0
1,555,0
2,675,0
3,731,0
4,888,1
5,1007,1
6,2,0
7,69,2
8,126,3
9,136,0
10,149,0
11,176,0
12,196,0
13,202,0
14,218,2
15,412,0
16,660,0
17,499,1
18,646,1
19,908,1
20,4,0
21,14,0
22,19,0
23,24,0
24,29,0
25,36,0
26,39,0
27,50,0
28,56,0
29,63,3
30,68,3
31,70,0
32,74,0
33,81,0
34,92,0
35,95,0
36,113,0
37,128,0
38,131,0
39,164,0
40,165,0
41,168,0
42,190,3
43,208,0
44,210,3
45,227,0
46,243,0
47,246,0
48,247,0
49,250,0
50,626,0
51,769,0
52,882,0
53,953,0
54,5,0
55,7,0
56,10,3
57,25,3
58,82,3
59,94,0
60,96,3
61,98,3
62,130,0
63,153,0
64,203,3
65,220,0
66,231,3
67,234,0
68,244,0
69,993,0
70,1000,3
71,6,0
72,30,0
73,54,0
74,65,0
75,66,3
76,75,0
77,77,0
78,120,0
79,133,3
80,137,0
81,139,0
82,145,2
83,147,3
84,173,0
85,182,0
86,554,0
87,654,0
88,684,0
89,782,0
90,798,0
91,87,3
92,88,0
93,121,0
94,152,0
95,166,0
96,530,0
97,620,5
98,678,1
99,697,0
100,967,1
101,8,0
102,51,0
103,52,0
104,93,0
105,184,0
106,191,3
107,222,0
108,35,0
109,80,3
110,86,3
111,114,3
112,138,0
113,199,3
114,11,1
115,506,1
116,527,1
117,601,1
118,679,1
119,719,1
120,938,1
121,989,1
122,990,1
123,685,0
124,890,1
125,13,0
126,403,0
127,436,2
128,545,0
129,582,0
130,622,0
131,797,2
132,22,0
133,71,0
134,91,0
135,99,0
136,105,0
137,141,2
138,167,0
139,181,0
140,217,0
141,249,0
142,610,0
143,845,0
144,948,0
145,600,1
146,607,1
147,700,1
148,942,1
149,964,1
150,16,0
151,240,0
152,370,0
153,389,2
154,402,0
155,452,0
156,441,2
157,481,2
158,916,2
159,348,2
160,453,2
161,34,0
162,156,3
163,232,0
164,20,0
165,97,3
166,129,3
167,132,0
168,172,0
169,239,3
170,251,0
171,315,0
172,703,0
173,934,3
174,21,0
175,60,0
176,162,0
177,197,0
178,576,0
179,692,0
180,40,0
181,64,3
182,112,3
183,177,0
184,41,0
185,84,3
186,104,0
187,715,0
188,144,0
189,158,3
190,169,3
191,226,3
192,712,3
193,26,3
194,61,3
195,119,3
196,961,3
197,515,1
198,67,0
199,115,3
200,175,0
201,613,0
202,31,2
203,266,2
204,326,2
205,358,2
206,400,2
207,408,2
208,508,2
209,815,2
210,32,5
211,157,5
212,277,5
213,278,5
214,292,2
215,543,5
216,551,2
217,573,2
218,625,5
219,557,0
220,738,1
221,630,2
222,48,3
223,163,0
224,135,3
225,944,0
226,411,2
227,443,2
228,174,0
229,223,0
230,355,2
231,635,0
232,485,1
233,522,1
234,596,1
235,106,0
236,47,3
237,55,3
238,955,3
239,146,3
240,212,0
241,765,1
242,877,1
243,206,0
244,868,0
245,584,1
246,899,1
247,683,3
248,829,3
249,950,3
250,958,3
251,983,3
252,914,0
253,57,0
254,102,0
255,179,0
256,593,1
257,269,2
258,317,2
259,445,2
260,477,2
261,205,1
262,820,3
263,76,0
264,107,0
265,117,0
266,280,0
267,444,0
268,258,2
269,432,2
270,564,2
271,693,2
272,708,1
273,746,2
274,257,2
275,682,2
276,73,0
277,956,0
278,969,0
279,274,2
280,320,2
281,336,2
282,363,2
283,437,2
284,466,0
285,725,4
286,388,0
287,419,0
288,590,0
289,740,0
290,323,2
291,430,2
292,438,2
293,321,2
294,331,2
295,349,2
296,705,2
297,833,0
298,83,1
299,290,1
300,339,1
301,483,1
302,562,1
303,687,1
304,710,1
305,748,1
306,750,1
307,979,1
308,988,0
309,90,2
310,255,2
311,286,2
312,289,2
313,463,2
314,472,2
315,488,2
316,501,2
317,659,2
318,751,2
319,1009,2
320,571,0
321,281,2
322,498,2
323,101,2
324,134,2
325,328,2
326,364,2
327,503,2
328,691,5
329,772,1
330,459,0
331,726,0
332,795,1
333,848,1
334,870,1
335,981,1
336,110,2
337,252,2
338,311,2
339,357,2
340,365,2
341,394,2
342,409,2
343,442,2
344,609,2
345,984,2
346,111,2
347,253,2
348,273,2
349,284,2
350,294,2
351,330,2
352,373,2
353,378,2
354,387,2
355,393,2
356,395,2
357,416,2
358,417,2
359,434,2
360,447,2
361,473,2
362,493,2
363,540,5
364,563,5
365,624,5
366,669,2
367,681,2
368,704,2
369,720,2
370,730,2
371,903,2
372,116,2
373,296,2
374,338,2
375,342,2
376,418,2
377,448,2
378,497,2
379,421,2
380,425,2
381,449,2
382,672,1
383,866,1
384,287,2
385,312,5
386,895,1
387,945,4
388,674,1
389,727,1
390,729,1
391,893,1
