participantId,householdSize,haveKids,age,educationLevel,interestGroup,joviality,educationScale,amount_sum,amount_count,Wage_sum,Wage_count,Education_sum,Education_count,Food_sum,Food_count,Food_mean,Recreation_sum,Recreation_count,Recreation_mean,Shelter_sum,Shelter_mean,Shelter_count,apartmentId,rentalCost,loc_apart,bd_apart,employerId,loc_job,bd_job,pubs_count,resto_count,sent_message,last_activity
0,3,1,36,HighSchoolOrCollege,H,0.001626703,2,116677.82862769926,1958,134904.66845673797,646,-608.0860728582386,16.0,-3868.580758034882,900,-4.298423064483202,-4870.355051117841,380.0,-12.81672381873116,-8879.817947027756,-554.9886216892347,16.0,926,554.99,POINT (-2721.353174109782 6862.8612194660855),810.0,424,POINT (39.59877121487088 1259.7742218297456),936.0,380.0,473,987.0,2023-05-25 00:00:00+00:00
1,3,1,25,HighSchoolOrCollege,B,0.3280865,2,97281.50727670769,1896,118421.02213344934,327,-608.0860728582386,16.0,-3912.7511404366146,899,-4.352337197371095,-7738.859696419048,638.0,-12.129874132318257,-8879.817947027756,-554.9886216892347,16.0,928,554.99,POINT (-1531.1328847088653 5597.244219744858),984.0,1321,POINT (-2616.4800271638437 6497.734086456471),588.0,638.0,333,7950.0,2023-05-25 00:00:00+00:00
2,3,1,35,HighSchoolOrCollege,A,0.39346959,2,86065.31893728908,1902,104429.0035554045,427,-204.99912029105582,16.0,-4265.2187068394815,886,-4.814016599141627,-4988.619955131517,557.0,-8.956229721959636,-8904.846835853386,-556.5529272408367,16.0,291,556.55,POINT (-1352.9677515710423 2095.779439981468),122.0,440,POINT (448.79913987469365 4328.78174286464),644.0,557.0,430,7692.0,2023-05-25 00:00:00+00:00
3,3,1,21,HighSchoolOrCollege,I,0.138063446,2,81616.79746380943,2019,100943.91179892616,646,-608.0860728582386,16.0,-4189.6968148206115,923,-4.539216484096004,-5649.5135004101185,418.0,-13.515582536866312,-8879.817947027756,-554.9886216892347,16.0,1243,554.99,POINT (-1550.046162256439 5606.726708601213),984.0,436,POINT (1376.3976505541523 4861.346259046002),1024.0,418.0,454,4407.0,2023-05-25 00:00:00+00:00
4,3,1,43,Bachelors,H,0.857396691,3,101943.90989366636,2113,130266.88610748075,645,-204.99912029105582,16.0,-4017.282756708485,900,-4.463647507453873,-7492.829447750095,528.0,-14.190964863163058,-16607.86488906475,-830.3932444532375,20.0,136,1002.23,POINT (1488.4782480253098 3490.8932244227935),602.0,411,POINT (916.9315425022253 4292.958506850986),527.0,528.0,435,13885.0,2023-05-25 00:00:00+00:00
5,3,1,32,HighSchoolOrCollege,D,0.772957791,2,7100.711308163687,1735,28088.920740239828,324,-204.99912029105582,16.0,-5068.693281811007,900,-5.631881424234453,-6113.979035069644,479.0,-12.76404808991575,-9600.537994904433,-600.033624681527,16.0,243,600.03,POINT (-1511.4440690712386 1994.4821122365117),147.0,385,POINT (231.13884534051988 1095.6471792268785),782.0,479.0,209,12038.0,2023-05-25 00:00:00+00:00
6,3,1,26,HighSchoolOrCollege,I,0.833980668,2,5098.142327554935,1956,28369.74172143821,323,-204.99912029105582,16.0,-4710.354112211335,900,-5.233726791345927,-9057.174335398575,701.0,-12.92036281797229,-9299.071825982312,-581.1919891238945,16.0,183,581.19,POINT (1789.4153053376972 3245.3104881693826),495.0,397,POINT (1499.3204774627252 4304.553083816536),351.0,701.0,199,10777.0,2023-05-25 00:00:00+00:00
7,3,1,27,Bachelors,A,0.958189409,3,58454.5832727482,2745,89270.39834362597,645,-204.99912029105582,16.0,-7505.596343412715,1462,-5.133786828599669,-6893.988450225843,606.0,-11.376218564729113,-16211.231156948163,-1013.2019473092602,16.0,97,1013.2,POINT (-1025.4630206407976 1571.1658211045055),961.0,427,POINT (-885.2966139548657 1555.9764946386085),315.0,606.0,768,12736.0,2023-05-25 00:00:00+00:00
8,3,1,20,Bachelors,G,0.697554819,3,21401.500477621503,2703,54272.08157685026,645,-204.99912029105582,16.0,-7339.836253184554,1504,-4.880210274723773,-6451.658909450681,522.0,-12.359499826533872,-18874.086816302464,-1179.630426018904,16.0,321,1179.63,POINT (611.3346599759675 2266.011783648469),895.0,383,POINT (829.9556783260775 2163.4803049897623),146.0,522.0,724,11285.0,2023-05-25 00:00:00+00:00
9,3,1,35,Bachelors,D,0.467131409,3,167308.84702891432,2024,187548.87633024788,646,-1458.2962215809964,16.0,-4229.183874217129,900,-4.699093193574588,-5624.512664380332,446.0,-12.6110149425568,-8928.036541155088,-558.002283822193,16.0,355,558.0,POINT (-2025.813803104962 2039.3990990051875),217.0,383,POINT (829.9556783260775 2163.4803049897623),146.0,446.0,457,7850.0,2023-05-25 00:00:00+00:00
10,3,1,48,HighSchoolOrCollege,D,0.557176006,2,78593.38132733756,2311,97334.59798921856,645,-204.99912029105582,16.0,-5827.9785648885545,1331,-4.378646555137907,-3733.8230249428884,303.0,-12.322848267138246,-8974.415951758492,-560.9009969849058,16.0,91,560.9,POINT (1816.3549639769624 5215.958137993539),571.0,385,POINT (231.13884534051988 1095.6471792268785),782.0,303.0,700,10012.0,2023-05-25 00:00:00+00:00
11,3,1,27,HighSchoolOrCollege,F,0.25422732,2,78203.30452081257,1965,98779.36859510005,509,-1171.1656343569832,16.0,-4235.12167939151,876,-4.8346137892597145,-6271.017222327299,548.0,-11.443462084538867,-8898.759538211689,-556.1724711382305,16.0,1582,556.17,POINT (-4580.138686257654 7008.662374002434),316.0,877,POINT (-1784.078473278472 4571.813634096875),670.0,548.0,500,5710.0,2023-05-25 00:00:00+00:00
12,3,1,34,HighSchoolOrCollege,D,0.241615182,2,72638.54021777345,1997,93774.10591057982,643,-608.0860728582386,16.0,-3984.7989869614094,900,-4.427554429957121,-7632.55614006467,422.0,-18.08662592432386,-8910.12449292205,-556.8827808076281,16.0,1198,556.88,POINT (-511.5960817230892 6362.843895698503),673.0,1771,POINT (-3724.8780422091695 6559.417348100849),305.0,422.0,477,4540.0,2023-05-25 00:00:00+00:00
